Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd];Wind Gust  [10 m above gnd]
2016;11;21;00;00;7.43;90.00;1014.40;0.00;0.00;17.73;185.83;29.88
2016;11;21;01;00;7.07;92.00;1015.30;0.00;0.00;14.78;182.79;33.12
2016;11;21;02;00;6.72;93.00;1015.50;0.00;0.00;13.68;178.49;35.28
2016;11;21;03;00;6.67;94.00;1015.80;0.00;0.00;13.80;172.50;31.32
2016;11;21;04;00;6.74;95.00;1016.30;0.00;0.00;13.28;167.47;28.44
2016;11;21;05;00;6.67;95.00;1016.70;0.00;0.00;13.78;160.14;27.00
2016;11;21;06;00;6.95;97.00;1017.30;0.00;0.00;14.12;160.64;18.72
2016;11;21;07;00;6.95;97.00;1017.00;0.00;0.00;13.44;159.62;17.64
2016;11;21;08;00;7.13;96.00;1017.90;0.00;0.00;14.81;154.06;17.64
2016;11;21;09;00;8.18;95.00;1017.70;0.00;0.00;15.79;155.77;19.08
2016;11;21;10;00;9.50;91.00;1018.00;0.00;0.00;15.62;154.03;19.80
2016;11;21;11;00;11.25;85.00;1017.80;0.00;0.00;16.90;153.43;24.12
2016;11;21;12;00;13.09;78.00;1017.80;0.00;0.00;18.06;156.50;26.28
2016;11;21;13;00;13.27;75.00;1015.20;0.00;0.00;19.20;149.59;20.88
2016;11;21;14;00;13.21;75.00;1015.00;0.00;0.00;18.89;149.04;21.96
2016;11;21;15;00;12.90;77.00;1015.00;0.00;0.00;16.79;149.04;24.12
2016;11;21;16;00;12.47;81.00;1015.50;0.00;0.00;14.19;144.29;22.32
2016;11;21;17;00;12.05;85.00;1015.80;0.00;0.00;13.61;142.52;24.12
2016;11;21;18;00;11.13;89.00;1015.20;0.00;0.00;15.38;147.43;25.20
2016;11;21;19;00;10.58;91.00;1015.30;0.00;0.00;15.84;158.68;26.64
2016;11;21;20;00;10.23;92.00;1015.40;0.00;0.00;16.85;160.02;29.52
2016;11;21;21;00;10.01;92.00;1016.00;0.00;0.00;17.65;163.41;27.72
2016;11;21;22;00;9.75;92.00;1016.10;0.00;0.00;17.21;164.22;26.28
2016;11;21;23;00;9.48;93.00;1016.60;0.00;0.00;17.53;160.82;26.28
2016;11;22;00;00;9.20;93.00;1016.70;0.00;0.00;17.99;160.11;25.20
2016;11;22;01;00;8.91;93.00;1017.30;0.00;0.00;18.25;157.99;26.28
2016;11;22;02;00;8.64;93.00;1017.40;0.00;0.00;17.92;157.56;25.92
2016;11;22;03;00;8.40;93.00;1017.70;0.00;0.00;17.88;154.98;24.48
2016;11;22;04;00;8.12;93.00;1018.00;0.00;0.00;17.73;150.83;23.04
2016;11;22;05;00;7.92;94.00;1018.50;0.00;0.00;17.10;149.66;22.68
2016;11;22;06;00;7.72;94.00;1019.10;0.00;0.00;17.48;147.62;23.04
2016;11;22;07;00;7.46;94.00;1018.60;0.00;0.00;17.37;145.98;23.04
2016;11;22;08;00;7.49;94.00;1019.20;0.00;0.00;17.67;146.63;23.04
2016;11;22;09;00;8.66;89.00;1019.60;0.00;0.00;18.68;152.45;23.04
2016;11;22;10;00;10.32;82.00;1020.30;0.00;0.00;19.21;167.01;23.04
2016;11;22;11;00;11.33;80.00;1020.30;0.00;0.00;19.96;172.75;25.92
2016;11;22;12;00;12.40;76.00;1020.80;0.00;0.00;19.25;172.48;24.12
2016;11;22;13;00;12.16;71.00;1017.50;0.00;0.00;17.91;149.83;20.52
2016;11;22;14;00;12.37;71.00;1017.20;0.00;0.00;17.24;151.29;20.16
2016;11;22;15;00;12.10;74.00;1017.30;0.00;0.00;12.39;144.46;18.72
2016;11;22;16;00;11.55;78.00;1017.90;0.00;0.00;9.42;133.45;13.68
2016;11;22;17;00;11.05;81.00;1018.60;0.00;0.00;8.50;126.38;17.28
2016;11;22;18;00;9.86;87.00;1018.10;0.00;0.00;8.05;116.57;11.88
2016;11;22;19;00;8.22;94.00;1017.90;0.00;0.00;8.50;126.38;15.12
2016;11;22;20;00;7.27;97.00;1018.90;0.00;0.00;8.79;145.01;20.16
2016;11;22;21;00;7.05;97.00;1019.10;0.00;0.00;9.69;158.20;16.56
2016;11;22;22;00;6.59;97.00;1019.50;0.00;0.00;9.01;177.71;22.68
2016;11;22;23;00;6.21;96.00;1020.40;0.00;0.00;8.64;180.00;20.16
2016;11;23;00;00;6.02;96.00;1020.80;0.00;0.00;7.64;188.13;19.08
2016;11;23;01;00;5.82;95.00;1021.40;0.00;0.00;7.95;185.19;17.64
2016;11;23;02;00;5.55;95.00;1021.70;0.00;0.00;8.21;195.26;20.52
2016;11;23;03;00;5.51;95.00;1022.10;0.00;0.00;7.34;191.31;12.96
2016;11;23;04;00;5.66;95.00;1022.50;0.00;0.00;7.57;182.73;14.04
2016;11;23;05;00;5.50;95.00;1022.80;0.00;0.00;8.31;184.97;16.92
2016;11;23;06;00;5.26;95.00;1023.70;0.00;0.00;7.28;188.53;15.48
2016;11;23;07;00;5.26;95.00;1023.70;0.00;0.00;7.28;188.53;16.56
2016;11;23;08;00;5.86;95.00;1024.30;0.00;0.00;7.64;188.13;19.44
2016;11;23;09;00;6.81;94.00;1024.90;0.00;0.00;7.86;195.95;19.08
2016;11;23;10;00;7.46;93.00;1025.30;0.00;0.00;8.21;195.26;18.00
2016;11;23;11;00;8.31;91.00;1025.60;0.00;0.00;9.29;215.54;18.36
2016;11;23;12;00;9.49;87.00;1026.10;0.00;0.00;7.99;215.84;18.72
2016;11;23;13;00;12.42;73.00;1022.30;0.00;0.00;7.57;205.35;9.00
2016;11;23;14;00;12.73;73.00;1022.30;0.00;0.00;6.79;212.01;9.72
2016;11;23;15;00;12.41;75.00;1022.60;0.00;0.00;4.33;221.63;7.92
2016;11;23;16;00;11.88;78.00;1023.30;0.00;0.00;3.83;228.81;6.12
2016;11;23;17;00;11.50;80.00;1024.30;0.00;0.00;3.56;225.00;6.12
2016;11;23;18;00;10.91;83.00;1023.40;0.00;0.00;3.40;212.01;6.12
2016;11;23;19;00;10.40;86.00;1023.00;0.00;0.00;3.98;185.19;6.48
2016;11;23;20;00;9.90;89.00;1023.80;0.00;0.00;5.04;180.00;9.36
2016;11;23;21;00;9.23;92.00;1023.70;0.00;0.00;5.01;201.04;10.80
2016;11;23;22;00;8.64;96.00;1023.90;0.00;0.00;4.61;218.66;11.88
2016;11;23;23;00;8.10;99.00;1024.00;0.00;0.00;4.33;221.63;12.60
2016;11;24;00;00;7.35;97.00;1024.10;0.00;0.00;3.76;253.30;12.24
2016;11;24;01;00;6.14;97.00;1024.90;0.00;0.00;3.67;281.31;12.60
2016;11;24;02;00;5.64;96.00;1024.40;0.00;0.00;2.28;288.43;12.96
2016;11;24;03;00;5.19;95.00;1024.60;0.00;0.00;1.94;291.80;15.12
2016;11;24;04;00;5.24;95.00;1025.20;0.00;0.00;1.94;291.80;15.48
2016;11;24;05;00;4.96;95.00;1024.90;0.00;0.00;3.32;319.40;10.80
2016;11;24;06;00;5.18;95.00;1025.40;0.00;0.00;5.90;322.43;18.72
2016;11;24;07;00;5.87;96.00;1025.10;0.00;0.00;9.09;326.31;19.80
2016;11;24;08;00;6.43;96.00;1025.90;0.00;0.00;12.50;348.37;16.92
2016;11;24;09;00;6.69;94.00;1027.30;0.00;0.00;11.88;360.00;20.52
2016;11;24;10;00;7.24;91.00;1027.70;0.00;0.00;12.61;358.36;17.28
2016;11;24;11;00;8.57;74.00;1027.60;0.00;0.00;15.16;4.09;17.28
2016;11;24;12;00;9.50;63.00;1028.10;0.00;0.00;15.27;8.13;16.20
2016;11;24;13;00;9.36;58.00;1025.00;0.00;0.00;14.41;12.99;18.72
2016;11;24;14;00;9.58;50.00;1025.20;0.00;0.00;14.00;17.97;17.64
2016;11;24;15;00;8.88;51.00;1025.50;0.00;0.00;11.18;14.93;17.28
2016;11;24;16;00;7.66;58.00;1026.30;0.00;0.00;9.47;8.75;16.20
2016;11;24;17;00;6.64;64.00;1027.30;0.00;0.00;8.64;360.00;13.68
2016;11;24;18;00;5.58;71.00;1027.40;0.00;0.00;8.31;355.03;12.24
2016;11;24;19;00;4.37;79.00;1027.50;0.00;0.00;8.35;352.57;17.28
2016;11;24;20;00;3.28;85.00;1028.10;0.00;0.00;8.67;355.24;16.56
2016;11;24;21;00;2.60;87.00;1028.10;0.00;0.00;7.57;357.27;15.12
2016;11;24;22;00;2.33;85.00;1028.60;0.00;0.00;6.95;338.75;12.24
2016;11;24;23;00;2.27;84.00;1028.80;0.00;0.00;7.10;329.53;10.80
2016;11;25;00;00;2.20;83.00;1028.60;0.00;0.00;7.70;322.59;12.60
2016;11;25;01;00;2.01;83.00;1029.40;0.00;0.00;7.65;318.81;16.92
2016;11;25;02;00;1.27;87.00;1029.10;0.00;0.00;7.65;318.81;18.36
2016;11;25;03;00;0.41;93.00;1029.30;0.00;0.00;8.21;322.13;21.24
2016;11;25;04;00;0.97;87.00;1029.80;0.00;0.00;8.56;337.75;19.80
2016;11;25;05;00;2.16;97.00;1030.00;0.00;0.00;9.83;351.57;16.56
2016;11;25;06;00;2.42;97.00;1030.20;0.00;0.00;8.05;349.70;21.96
2016;11;25;07;00;2.39;96.00;1029.80;0.00;0.00;7.57;357.27;18.72
2016;11;25;08;00;2.31;95.00;1030.80;0.00;0.00;6.12;360.00;17.64
2016;11;25;09;00;2.57;94.00;1031.30;0.00;0.00;3.96;360.00;14.40
2016;11;25;10;00;2.98;93.00;1031.70;0.00;0.00;2.52;360.00;12.24
2016;11;25;11;00;3.37;92.00;1031.50;0.00;0.00;2.74;23.20;10.80
2016;11;25;12;00;4.00;89.00;1032.30;0.00;0.00;1.44;360.00;9.36
2016;11;25;13;00;7.25;74.00;1027.00;0.00;0.00;5.09;278.13;5.40
2016;11;25;14;00;7.21;74.00;1026.30;0.00;0.00;6.21;280.01;6.48
2016;11;25;15;00;6.70;76.00;1026.60;0.00;0.00;5.80;277.13;5.76
2016;11;25;16;00;6.15;78.00;1026.50;0.00;0.00;6.49;266.82;8.64
2016;11;25;17;00;5.56;80.00;1026.70;0.00;0.00;7.24;264.29;10.44
2016;11;25;18;00;4.85;84.00;1026.80;0.00;0.00;7.70;259.22;12.96
2016;11;25;19;00;3.95;88.00;1026.00;0.00;0.00;8.31;252.35;15.12
2016;11;25;20;00;3.26;90.00;1026.50;0.00;0.00;8.65;253.07;15.48
2016;11;25;21;00;2.57;93.00;1026.90;0.00;0.00;9.45;252.26;17.64
2016;11;25;22;00;1.70;96.00;1026.40;0.00;0.00;10.04;255.47;20.88
2016;11;25;23;00;1.63;96.00;1026.50;0.00;0.00;11.97;263.09;23.40
2016;11;26;00;00;1.56;95.00;1026.00;0.00;0.00;13.63;257.80;28.44
2016;11;26;01;00;1.50;95.00;1025.80;0.00;0.00;14.00;252.03;25.92
2016;11;26;02;00;1.35;95.00;1025.40;0.00;0.00;14.71;248.46;25.92
2016;11;26;03;00;1.17;95.00;1025.40;0.00;0.00;15.18;247.69;27.00
2016;11;26;04;00;0.97;95.00;1024.90;0.00;0.00;15.84;248.68;25.56
2016;11;26;05;00;0.83;95.00;1024.40;0.00;0.00;16.52;249.59;26.28
2016;11;26;06;00;0.80;95.00;1024.50;0.00;0.00;17.58;247.11;29.16
2016;11;26;07;00;0.75;95.00;1023.60;0.00;0.00;18.86;246.37;32.04
2016;11;26;08;00;0.77;95.00;1023.20;0.00;0.00;19.34;245.82;34.56
2016;11;26;09;00;1.24;94.00;1022.90;0.00;0.00;19.64;243.90;36.36
2016;11;26;10;00;2.12;90.00;1022.40;0.00;0.00;21.25;243.87;38.52
2016;11;26;11;00;3.70;85.00;1021.60;0.00;0.00;22.55;245.48;37.08
2016;11;26;12;00;5.14;80.00;1021.20;0.00;0.00;24.74;248.66;39.96
2016;11;26;13;00;6.33;69.00;1016.30;0.00;0.00;29.50;250.02;39.24
2016;11;26;14;00;6.47;71.00;1014.90;0.00;0.00;29.96;249.61;40.32
2016;11;26;15;00;5.95;74.00;1013.90;0.00;0.00;30.30;249.84;40.68
2016;11;26;16;00;4.98;78.00;1013.80;0.00;0.00;29.16;249.78;39.24
2016;11;26;17;00;4.71;79.00;1013.80;0.00;0.00;31.42;251.98;40.32
2016;11;26;18;00;4.50;80.00;1012.60;0.00;0.00;31.96;255.65;42.12
2016;11;26;19;00;4.37;81.00;1011.50;0.10;0.00;32.91;250.18;43.56
2016;11;26;20;00;4.45;83.00;1011.40;0.00;0.00;32.11;250.35;44.64
2016;11;26;21;00;4.32;86.00;1011.00;0.00;0.00;31.21;258.69;42.84
2016;11;26;22;00;4.18;88.00;1010.70;0.00;0.00;32.57;256.58;43.92
2016;11;26;23;00;4.20;88.00;1010.80;0.00;0.00;31.85;259.58;42.84
2016;11;27;00;00;4.32;90.00;1009.60;0.00;0.00;31.78;260.22;43.56
2016;11;27;01;00;4.70;91.00;1009.80;0.00;0.00;32.02;261.60;41.04
2016;11;27;02;00;4.76;92.00;1009.50;0.00;0.00;33.28;264.41;42.84
2016;11;27;03;00;4.65;94.00;1009.20;0.00;0.00;32.04;270.00;40.68
2016;11;27;04;00;4.63;95.00;1009.50;0.00;0.00;29.93;273.45;37.80
2016;11;27;05;00;4.45;93.00;1009.70;0.00;0.00;31.68;270.65;39.96
2016;11;27;06;00;4.26;92.00;1009.80;0.00;0.00;34.23;272.41;44.64
2016;11;27;07;00;4.24;92.00;1009.20;0.00;0.00;33.67;276.14;43.56
2016;11;27;08;00;4.66;89.00;1010.50;0.00;0.00;32.62;292.04;42.12
2016;11;27;09;00;5.19;73.00;1010.80;0.00;0.00;29.38;306.03;39.24
2016;11;27;10;00;5.33;71.00;1011.60;0.00;0.00;32.78;301.07;40.68
2016;11;27;11;00;5.76;65.00;1012.40;0.00;0.00;34.30;309.04;41.40
2016;11;27;12;00;6.05;59.00;1012.30;0.00;0.00;35.31;309.21;45.36
2016;11;27;13;00;6.31;52.00;1009.40;0.00;0.00;28.86;319.55;37.80
2016;11;27;14;00;5.88;49.00;1010.10;0.00;0.00;30.60;323.13;38.52
2016;11;27;15;00;4.99;51.00;1010.50;0.00;0.00;29.09;323.56;37.80
2016;11;27;16;00;3.70;56.00;1011.40;0.00;0.00;26.83;319.90;37.80
2016;11;27;17;00;2.79;61.00;1012.10;0.00;0.00;26.23;316.67;38.16
2016;11;27;18;00;2.23;63.00;1012.10;0.00;0.00;25.48;317.29;37.80
2016;11;27;19;00;2.38;57.00;1012.40;0.00;0.00;28.36;326.92;40.32
2016;11;27;20;00;1.87;58.00;1013.30;0.00;0.00;27.46;325.68;39.24
2016;11;27;21;00;2.02;62.00;1013.90;0.00;0.00;29.06;326.11;39.60
2016;11;27;22;00;1.87;65.00;1014.70;0.00;0.00;32.27;321.34;41.04
2016;11;27;23;00;1.39;71.00;1014.90;0.00;0.00;33.90;318.01;44.28
2016;11;28;00;00;1.22;79.00;1014.80;0.00;0.00;37.93;314.62;52.56
2016;11;28;01;00;1.24;85.00;1015.90;0.00;0.00;42.64;319.45;59.40
2016;11;28;02;00;0.95;92.00;1016.40;0.00;0.21;53.78;328.97;60.48
2016;11;28;03;00;1.01;92.00;1017.40;0.00;0.07;50.32;329.95;56.16
2016;11;28;04;00;1.02;92.00;1018.20;0.00;0.07;50.24;332.70;54.72
2016;11;28;05;00;0.97;91.00;1019.00;0.00;0.00;48.60;337.80;57.96
2016;11;28;06;00;0.81;89.00;1020.80;0.00;0.00;49.98;340.65;56.16
2016;11;28;07;00;0.85;88.00;1020.80;0.00;0.00;52.96;343.41;59.40
2016;11;28;08;00;0.90;88.00;1022.30;0.00;0.00;52.17;343.57;65.52
2016;11;28;09;00;1.49;85.00;1023.50;0.00;0.00;54.24;347.35;64.44
2016;11;28;10;00;2.23;77.00;1024.30;0.00;0.00;55.24;352.13;61.56
2016;11;28;11;00;2.57;72.00;1025.70;0.00;0.00;56.78;354.54;64.80
2016;11;28;12;00;2.93;69.00;1027.40;0.00;0.00;55.22;355.89;60.12
2016;11;28;13;00;1.94;77.00;1024.40;0.00;0.00;41.66;6.45;48.96
2016;11;28;14;00;1.70;78.00;1025.10;0.00;0.00;39.05;5.29;46.44
2016;11;28;15;00;1.20;82.00;1027.10;0.00;0.00;33.91;3.65;42.12
2016;11;28;16;00;0.14;85.00;1027.90;0.00;0.00;26.01;355.24;35.28
2016;11;28;17;00;-0.30;86.00;1028.50;0.00;0.00;23.34;340.17;39.24
2016;11;28;18;00;-0.44;86.00;1029.40;0.00;0.00;24.48;331.93;37.08
2016;11;28;19;00;-0.68;86.00;1029.70;0.00;0.00;22.47;324.78;29.88
2016;11;28;20;00;-0.72;88.00;1030.30;0.00;0.00;22.92;313.73;29.16
2016;11;28;21;00;-0.64;88.00;1030.80;0.00;0.00;22.39;306.50;32.04
2016;11;28;22;00;-0.70;90.00;1030.90;0.00;0.00;24.64;295.07;34.92
2016;11;28;23;00;-0.74;90.00;1030.70;0.00;0.00;27.35;290.82;34.92
2016;11;29;00;00;-0.40;86.00;1030.40;0.00;0.00;30.17;289.52;40.32
2016;11;29;01;00;-0.12;83.00;1030.20;0.00;0.00;33.13;289.03;42.84
2016;11;29;02;00;0.07;80.00;1029.90;0.00;0.00;35.46;285.31;47.52
2016;11;29;03;00;0.09;80.00;1029.80;0.00;0.00;38.51;283.52;47.52
2016;11;29;04;00;0.17;80.00;1029.20;0.00;0.00;41.21;284.16;55.80
2016;11;29;05;00;0.17;86.00;1028.20;0.00;0.00;44.28;282.68;54.72
2016;11;29;06;00;0.45;88.00;1028.80;0.00;0.00;48.28;284.24;60.48
2016;11;29;07;00;0.12;89.00;1028.10;0.00;0.00;49.07;287.50;57.60
2016;11;29;08;00;0.54;89.00;1028.20;0.00;0.00;49.35;293.20;57.24
2016;11;29;09;00;1.57;90.00;1028.60;0.00;0.00;48.10;300.60;54.36
2016;11;29;10;00;2.97;92.00;1028.90;0.00;0.00;45.32;308.87;51.48
2016;11;29;11;00;3.74;92.00;1029.10;0.00;0.00;45.87;312.46;50.04
2016;11;29;12;00;4.09;90.00;1029.90;0.00;0.00;45.06;314.03;48.60
2016;11;29;13;00;5.42;78.00;1028.10;0.00;0.00;22.97;302.20;31.32
2016;11;29;14;00;5.55;77.00;1027.60;0.00;0.00;22.57;303.94;30.24
2016;11;29;15;00;5.49;73.00;1028.70;0.00;0.00;22.47;305.22;29.16
2016;11;29;16;00;4.79;78.00;1028.90;0.00;0.00;17.71;296.57;25.20
2016;11;29;17;00;4.48;83.00;1029.40;0.00;0.00;16.04;279.04;22.68
2016;11;29;18;00;3.83;87.00;1029.00;0.00;0.00;18.72;270.00;23.76
2016;11;29;19;00;3.70;84.00;1029.00;0.00;0.00;23.80;273.47;31.32
2016;11;29;20;00;3.27;82.00;1029.50;0.00;0.00;25.20;270.82;33.12
2016;11;29;21;00;2.43;81.00;1029.50;0.00;0.00;22.75;265.46;32.40
2016;11;29;22;00;2.08;80.00;1029.10;0.00;0.00;26.48;262.97;33.48
2016;11;29;23;00;1.64;83.00;1028.90;0.00;0.00;24.72;257.38;34.56
2016;11;30;00;00;0.84;82.00;1028.00;0.00;0.00;25.52;253.61;38.88
2016;11;30;01;00;0.30;81.00;1028.10;0.00;0.00;28.39;254.55;39.96
2016;11;30;02;00;-0.16;84.00;1027.40;0.10;0.00;35.07;252.68;41.76
